	First	Second	Last
A	Amazing	Giant	Man
B	Brilliant	Tiny	Moth
C	Awesome	Shrinking	Goat
D	Incredible	Magic	Princess
E	Uncanny	Slimy	Girl
F	Impossible	Flying	Machine
G	Unbelievable	Angry	Cat
H	Surprisingly	Crazy	Balloon
I	Unexpected	Shiny	Ant
J	Dastardly	Golden	Bee
K	Evil	Sticky	Wolf
L	Monstrous	Diamond	Bear
M	Preposterous	Flaming	Lion
N	Alarming	Psychic	Ball
O	Insane	Silent	Ghost
P	Terrifying	Screaming	Witch
Q	Unthinkable	Jumping	Vampire
R	Absurd	Crouching	Hand
S	Improbable	Friendly	Foot
T	Outlandish	Omnipotent	Tornado
U	Questionable	Dripping	Fish
V	Ridiculous	Flimsy	Millipeed
W	Erotic	Hairy	Rock
X	Unfathomable	Translucent	Nose
Y	Inconceivable	Strange	Dog
Z	Unimaginable	Silver	Boy
